datetime,plant,As_tot_in,As_diss_in,As_tot_out,As_tot_out_cens,As_diss_out,As_diss_out_cens,pH,hardness,cond,TDS,turbidity,DOC,DOC_cens,TOC,TOC_cens,algae,Ca_tot,Ca_diss,Mg_tot,Mg_diss,Mn_tot,Mn_diss,Mn_diss_cens,K_tot,K_diss,Na_tot,Na_diss,F,Cl,SO4,sulphide,sulphide_cens,alkalinity,Al_tot,Sb_tot,B,Fe_tot,Fe_diss,Fe_diss_cens,Li_tot,Mo_tot,Mo_tot_cens,nitrate_N,nitrite_N,nitrite_N_cens,NH4_N,NH4_N_cens,DRP,DRP_cens,TP,coagulant,temperature,year,month,season,As_removed_abs,As_removal_pct,As_LRV,meets_MAV,qa_exclude_multivar,qa_exclude_reason
2010-04-07 00:00:00,HCC,0.022,,0.00172,False,,False,7.6,,,,,2.9,False,2.8,False,,7.0,,,,0.026,0.00035355339059327376,True,,,,,,,,,False,42.0,0.059,0.00069,,0.26,0.014142135623730949,True,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,4,Autumn,0.02028,92.18181818181819,1.1068942339146572,1.0,False,
2010-05-07 00:00:00,HCC,0.027,,0.0022,False,,False,7.2,,,,,2.4,False,2.7,False,,6.8,,,,0.0085,0.00035355339059327376,True,,,,,,,,,False,43.0,0.04,0.00106,,0.145,0.028,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,5,Autumn,0.0248,91.85185185185185,1.088941083336781,1.0,False,
2010-06-08 00:00:00,HCC,0.023,,0.0016,False,,False,7.1,,,,,2.7,False,3.2,False,,6.1,,,,0.046,0.0064,False,,,,,,,,,False,39.0,0.161,0.00093,,0.52,0.08,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,6,Winter,0.0214,93.04347826086955,1.157607853361668,1.0,False,
2010-07-08 00:00:00,HCC,0.022,,0.0017,False,,False,7.3,29.0,16.9,129.0,,1.5,False,1.3,False,,6.2,7.3,2.4,2.6,0.0178,0.00035355339059327376,True,3.9,3.9,22.0,,,20.0,13.1,0.001414213562373095,True,38.0,0.055,0.00099,0.27,0.168,0.07,False,0.112,0.00046,False,0.5,0.003,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2010,7,Winter,0.0203,92.27272727272727,1.1119737594439323,1.0,False,
2010-08-09 00:00:00,HCC,0.0152,,0.0012,False,,False,11.0,,,,,2.6,False,4.3,False,,50.0,,,,0.031,0.0019,False,,,,,,,,,False,151.0,0.48,0.00072,,0.45,0.04,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,8,Winter,0.014,92.10526315789474,1.1026623418971477,1.0,True,pH=11;Ca_tot=50;alkalinity=151;
2010-09-20 00:00:00,HCC,0.0196,,0.0007778174593052023,True,,False,8.4,,,,,1.4,False,2.0,False,,10.3,,,,0.034,0.0031,False,,,,,,,,,False,39.0,0.22,0.0007,,0.33,0.08,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,9,Spring,0.018822182540694798,96.03154357497347,1.4013783840302416,1.0,False,
2010-10-06 00:00:00,HCC,0.018,,0.0013,False,,False,7.4,,,,,0.7,False,2.7,False,,6.3,,,,0.023,0.0007,False,,,,,,,,,False,35.0,0.102,0.0006,,0.23,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,10,Spring,0.0167,92.77777777777779,1.1413291527964693,1.0,False,
2010-11-16 00:00:00,HCC,0.024,,0.0026,False,,False,7.8,,,,,1.4,False,2.0,False,,6.6,,,,0.037,0.0014,False,,,,,,,,,False,42.0,0.044,0.00072,,0.139,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,11,Spring,0.021400000000000002,89.16666666666667,0.965237893740788,1.0,False,
2010-12-06 00:00:00,HCC,0.029,,0.0028,False,,False,7.5,,,,,3.1,False,3.6,False,,6.7,,,,0.046,0.00035355339059327376,True,,,,,,,,,False,41.0,0.025,0.0006,,0.151,0.02,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2010,12,Summer,0.0262,90.34482758620689,1.0152399665567369,1.0,False,
2011-01-19 00:00:00,HCC,0.033,,0.0021,False,,False,7.4,26.0,17.0,140.0,,4.5,False,5.3,False,,6.4,6.2,2.8,2.6,0.042,0.0009,False,3.6,3.4,22.0,,,20.0,8.9,0.001414213562373095,True,40.0,0.056,0.00075,0.3,0.21,0.07,False,0.106,0.00052,False,0.173,0.007,False,0.026,False,,False,,Aluminium Sulphate,,2011,1,Summer,0.0309,93.63636363636363,1.1962946451439682,1.0,False,
2011-02-21 00:00:00,HCC,0.0195,,0.0018,False,,False,7.4,,,,,3.2,False,3.9,False,,6.3,,,,0.024,0.0005,False,,,,,,,,,False,43.0,0.038,0.00059,,0.151,0.03,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,2,Summer,0.0177,90.76923076923077,1.034762106259212,1.0,False,
2011-03-11 00:00:00,HCC,0.024,,0.0026,False,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,3,Autumn,0.021400000000000002,89.16666666666667,0.965237893740788,1.0,False,
2011-04-13 00:00:00,HCC,0.024,,0.0022,False,,False,7.5,,,,,,False,4.4,False,,6.5,,,,0.028,0.00035355339059327376,True,,,,,,,,,False,38.0,0.045,0.00077,,0.151,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,4,Autumn,0.0218,90.83333333333334,1.0377885608893997,1.0,False,
2011-05-19 00:00:00,HCC,0.022,,0.0024,False,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,5,Autumn,0.0196,89.0909090909091,0.9622114391106001,1.0,False,
2011-06-21 00:00:00,HCC,0.0197,,0.0012,False,,False,,,,,,,False,,False,,,,,,,,False,,,,,,,,,False,,,,,,,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2011,6,Winter,0.0185,93.90862944162437,1.2152849801139682,1.0,False,
